ambience_rating,chef,cuisine,dining_style,dress_code,food_rating,location,noise_level,num_reviews,price,recommendation_percentage,restaurant,service_rating,value_rating
4.2,Jason Hicks,British,Casual Dining,Casual Dress,4.2,Midtown East,Moderate,330,$31 to $50,92%,The Shakespeare,4.3,4.1
4.1,,Italian,Casual Elegant,Smart Casual,4.4,Midtown East,Moderate,248,$31 to $50,90%,Massoni,4.2,3.9
4.4,,American,Casual Dining,Business Casual,4.3,Midtown West,Moderate,268,$30 and under,94%,Trademark,4.3,4.1
4.5,Jeffrey Haskell,American,Casual Dining,Business Casual,4.5,Midtown West,Moderate,1153,$30 and under,92%,Parker & Quinn,4.5,4.2
4.4,,Cuban,Casual Elegant,Smart Casual,4.4,Theater District / Times Square,Moderate,369,$30 and under,85%,Calle Dao - Bryant Park,4.5,4.1
3.8,,Korean,Casual Dining,Business Casual,4.2,Midtown West,Moderate,270,$30 and under,83%,Madangsui-NY,4.1,3.8
4.1,,Italian,Casual Elegant,Smart Casual,4.4,Midtown East,Moderate,248,$31 to $50,90%,Massoni,4.2,3.9
4.6,,Steakhouse,Fine Dining,Smart Casual,4.8,Murray Hill,Moderate,739,$50 and over,96%,Royal 35 Steakhouse,4.7,4.4
4.1,Sandy Ingber,Seafood,Casual Dining,Casual Dress,4.1,Midtown East,Moderate,5722,$31 to $50,81%,Grand Central Oyster Bar,3.9,3.6
4.3,Luis Uzcha,Italian,Fine Dining,Casual Dress,4.5,Theater District / Times Square,Moderate,1244,$31 to $50,86%,Arno Ristorante,4.4,4.0
4.8,Philip Sireci,American,Casual Elegant,Business Casual,4.3,Murray Hill,Moderate,629,$50 and over,93%,Fine & Rare,4.5,4.1
4.3,Jefferson Cho,Korean,Casual Dining,Casual Dress,4.6,NoMad,Moderate,87,$31 to $50,90%,Samwon Garden,4.3,4.1
4.1,Charlie Palmer,Steakhouse,Casual Elegant,Business Casual,4.2,Midtown East,Quiet,598,$31 to $50,73%,Charlie Palmer Steak,4.3,3.7
4.4,Steve DeLucia,Steakhouse,Fine Dining,Business Casual,4.6,Theater District / Times Square,Moderate,4752,$31 to $50,89%,Ruth's Chris Steak House - New York City - Midtown,4.5,4.2
4.2,David Burke,American,Casual Elegant,Smart Casual,4.3,NoMad,Moderate,336,$30 and under,78%,Woodpecker by David Burke,4.2,3.8
4.4,Hugo Garcia,Wine Bar,Casual Elegant,Casual Dress,4.5,Midtown West,Moderate,2380,$30 and under,95%,AYZA Wine & Chocolate Bar,4.4,4.3
4.4,Nestor Moina,Mediterranean,Casual Elegant,Business Casual,4.4,Chelsea,Moderate,337,$30 and under,84%,Pergola,4.0,4.0
4.2,Jarett Appell,Italian,Casual Elegant,Casual Dress,4.3,Midtown West,Moderate,2348,$30 and under,88%,Stella 34 Trattoria,4.0,3.9
4.0,,French,Casual Dining,Casual Dress,3.9,Midtown West,Moderate,798,$30 and under,88%,Petit Poulet,3.9,3.8
4.5,,American,Casual Elegant,Resort Casual,4.5,Midtown East,Moderate,1805,$30 and under,96%,Tommy Bahama - New York,4.4,4.2
4.2,Thomas Legoff,Barbecue,Casual Dining,Casual Dress,4.3,Theater District / Times Square,Moderate,6437,$30 and under,90%,Virgil's Real BBQ - New York City,4.4,4.1
4.1,,Comfort Food,Casual Dining,Casual Dress,4.3,Union Square,Moderate,7298,$30 and under,89%,Max Brenner - Union Square,4.1,3.9
4.1,Ben Dorado,Japanese,Casual Elegant,Casual Dress,4.4,Theater District / Times Square,Moderate,1562,$31 to $50,93%,Haru Sushi - W 43rd,4.2,4.0
4.5,Giuseppe Coladonato,Italian,Casual Elegant,Smart Casual,4.6,Theater District / Times Square,Moderate,4115,$31 to $50,92%,La Masseria,4.5,4.1
4.4,Michael England,Steakhouse,Fine Dining,Business Casual,4.5,Theater District / Times Square,Moderate,5433,$50 and over,92%,The Palm West Side,4.5,4.1
4.4,,Steakhouse,Casual Elegant,Business Casual,4.5,Midtown East,Moderate,2885,$50 and over,85%,Sparks Steak House,4.5,4.0
4.5,Japanese,Japanese,Casual Dining,Casual Dress,4.7,Theater District / Times Square,Moderate,1350,$30 and under,96%,Gyu-Kaku - Times Square,4.5,4.5
4.5,,Continental,Casual Elegant,Casual Dress,4.2,Theater District / Times Square,Moderate,4225,$31 to $50,89%,Sardi's,4.5,3.9
4.5,Atilio Ramos,Italian,Casual Dining,Casual Dress,4.5,Midtown West,Moderate,2052,$31 to $50,90%,Casa Nonna - Midtown,4.5,4.1
4.5,John Fraser,Vegetarian,Casual Dining,Casual Dress,4.6,Greenwich Village,Moderate,1570,$31 to $50,92%,Nix,4.5,4.2
4.4,Alfredo Escobar,American,Casual Elegant,Smart Casual,4.5,Upper East Side,Moderate,1628,$31 to $50,92%,Freds Madison at Barneys New York,4.3,3.9
4.6,,American,Casual Elegant,Casual Dress,4.6,Midtown East,Moderate,497,$31 to $50,98%,Covina,4.4,4.1
4.3,Anthony Acinapura,Italian,Casual Elegant,Smart Casual,4.4,Midtown West,Moderate,6329,$31 to $50,89%,Trattoria Dell'Arte,4.5,4.0
